column,source,description,unit_or_scale,note
city,merge_key,,,
city_std,merge_key,,,
tomtom_city,TomTom,,,
tomtom_country,TomTom,,,
tomtom_year,TomTom,,,
tomtom_area_type,TomTom,,,
tomtom_average_congestion_percent,TomTom,,,
tomtom_average_speed_kmh,TomTom,,,
tomtom_tt10_min,TomTom,,,
tomtom_tt10_seconds,TomTom,,,
tomtom_avg_distance_15min_km,TomTom,,,
tomtom_am_peak_tt10_min,TomTom,,,
tomtom_pm_peak_tt10_min,TomTom,,,
tomtom_peak_asymmetry_index,TomTom,,,
tomtom_monthly_congestion_mean_2025,TomTom,,,
tomtom_monthly_congestion_sd_2025,TomTom,,,
tomtom_monthly_congestion_cv_2025,TomTom,,,
tomtom_monthly_min_month_2025,TomTom,,,
tomtom_monthly_min_percent_2025,TomTom,,,
tomtom_monthly_max_month_2025,TomTom,,,
tomtom_monthly_max_percent_2025,TomTom,,,
tomtom_am_peak_congestion_percent,TomTom,,,
tomtom_pm_peak_congestion_percent,TomTom,,,
tomtom_am_peak_speed_kmh,TomTom,,,
tomtom_pm_peak_speed_kmh,TomTom,,,
tomtom_rush_hour_time_lost_hours,TomTom,,,
tomtom_monthly_complete,TomTom,,,
tomtom_heatmap_complete,TomTom,,,
tomtom_data_status,TomTom,,,
tomtom_source_note,TomTom,,,
osm_city,OSM,,,
osm_osm_query,OSM,,,
osm_area_km2,OSM,OSM-derived city boundary area,,
osm_total_road_length_km,OSM,Total drivable road length extracted from OSM,,
osm_motorway_km,OSM,Motorway and motorway_link length,,
osm_trunk_km,OSM,Trunk and trunk_link length,,
osm_primary_km,OSM,Primary and primary_link length,,
osm_secondary_km,OSM,Secondary and secondary_link length,,
osm_major_road_km,OSM,Motorway + trunk + primary + secondary road length,,
osm_intersection_count,OSM,Consolidated OSM intersection count,,
osm_road_density_km_per_km2,OSM,Total road length divided by city area,,
osm_intersection_density_per_km2,OSM,Intersection count divided by city area,,
osm_highway_dependency_proxy,OSM,(motorway_km + trunk_km) / total_road_length_km,,
osm_major_road_share,OSM,major_road_km / total_road_length_km,,
osm_boundary_file,OSM,,,
osm_edge_file,OSM,,,
osm_status,OSM,,,
osm_error,OSM,,,
popveh_city,OpenDOSM / data.gov.my,,,
popveh_matched_state,OpenDOSM / data.gov.my,,,
popveh_population_state_2025_persons,OpenDOSM / data.gov.my,2025 state-level population,,
popveh_vehicle_reg_2025_state,OpenDOSM / data.gov.my,2025 state-level vehicle registration transactions,,
popveh_car_reg_2025_state,OpenDOSM / data.gov.my,2025 state-level car registration transactions,,
popveh_motorcycle_reg_2025_state,OpenDOSM / data.gov.my,2025 state-level motorcycle registration transactions,,
popveh_lorry_reg_2025_state,OpenDOSM / data.gov.my,,,
popveh_van_reg_2025_state,OpenDOSM / data.gov.my,,,
popveh_bus_reg_2025_state,OpenDOSM / data.gov.my,,,
popveh_trailer_reg_2025_state,OpenDOSM / data.gov.my,,,
popveh_other_vehicle_reg_2025_state,OpenDOSM / data.gov.my,,,
popveh_vehicle_reg_per_1000_pop_2025,OpenDOSM / data.gov.my,Vehicle registration transactions per 1000 population,,
popveh_car_reg_per_1000_pop_2025,OpenDOSM / data.gov.my,Car registration transactions per 1000 population,,
popveh_motorcycle_reg_per_1000_pop_2025,OpenDOSM / data.gov.my,Motorcycle registration transactions per 1000 population,,
popveh_car_share_of_vehicle_reg_2025,OpenDOSM / data.gov.my,Car share of vehicle registration transactions,,
popveh_motorcycle_share_of_vehicle_reg_2025,OpenDOSM / data.gov.my,Motorcycle share of vehicle registration transactions,,
popveh_population_source,OpenDOSM / data.gov.my,,,
popveh_vehicle_source,OpenDOSM / data.gov.my,,,
popveh_spatial_matching_level,OpenDOSM / data.gov.my,,,
popveh_limitation,OpenDOSM / data.gov.my,,,
